k,run_id,random_seed,dataset,inertia,silhouette,calinski_harabasz,inertia/samples,calinski_harabasz/samples,silhouette/samples
2,0,1,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,0,1,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,1,2,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,1,2,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,2,3,train,63574.31435895718,0.34259513534633657,5154.90188952976,7.879810902200939,0.6389318157572832,4.2463452571434874e-05
2,2,3,eval,20607.41111720882,0.3510259023204665,1758.61920327625,7.844465594674085,0.6694401230590978,0.00013362234576340558
2,3,4,train,63574.314358957185,0.34259513534633657,5154.90188952976,7.87981090220094,0.6389318157572832,4.2463452571434874e-05
2,3,4,eval,20607.41111720882,0.3510259023204665,1758.61920327625,7.844465594674085,0.6694401230590978,0.00013362234576340558
2,4,5,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,4,5,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,5,6,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,5,6,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,6,7,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,6,7,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,7,8,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,7,8,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,8,9,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,8,9,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,9,10,train,63574.36060874808,0.34259925348210574,5154.896962196809,7.879816634698572,0.6389312050318305,4.2463962999765213e-05
2,9,10,eval,20606.622019649676,0.3510259023204665,1758.61920327625,7.844165214940874,0.6694401230590978,0.00013362234576340558
2,10,11,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,10,11,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,11,12,train,63574.36060874808,0.34259925348210574,5154.896962196809,7.879816634698572,0.6389312050318305,4.2463962999765213e-05
2,11,12,eval,20606.622019649676,0.3510259023204665,1758.61920327625,7.844165214940874,0.6694401230590978,0.00013362234576340558
2,12,13,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,12,13,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,13,14,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,13,14,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,14,15,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,14,15,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,15,16,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,15,16,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,16,17,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,16,17,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,17,18,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,17,18,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,18,19,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,18,19,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,19,20,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,19,20,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,20,21,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,20,21,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,21,22,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,21,22,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,22,23,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,22,23,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,23,24,train,63574.36060874808,0.34259925348210574,5154.896962196809,7.879816634698572,0.6389312050318305,4.2463962999765213e-05
2,23,24,eval,20606.622019649676,0.3510259023204665,1758.61920327625,7.844165214940874,0.6694401230590978,0.00013362234576340558
2,24,25,train,63574.360608748095,0.34259925348210574,5154.896962196809,7.879816634698574,0.6389312050318305,4.2463962999765213e-05
2,24,25,eval,20606.622019649676,0.3510259023204665,1758.61920327625,7.844165214940874,0.6694401230590978,0.00013362234576340558
2,25,26,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,25,26,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,26,27,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,26,27,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,27,28,train,63574.360608748095,0.34259925348210574,5154.896962196809,7.879816634698574,0.6389312050318305,4.2463962999765213e-05
2,27,28,eval,20606.622019649676,0.3510259023204665,1758.61920327625,7.844165214940874,0.6694401230590978,0.00013362234576340558
2,28,29,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,28,29,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
2,29,30,train,63574.306198869235,0.34259513534633657,5154.90188952976,7.879809890786965,0.6389318157572832,4.2463452571434874e-05
2,29,30,eval,20607.175656351035,0.3510259023204665,1758.61920327625,7.84437596359004,0.6694401230590978,0.00013362234576340558
