k,run_id,random_seed,dataset,inertia,ssd_exp,silhouette,calinski_harabasz
6,0,1,train,420.4157597200532,-5.019585332175582,0.1080393740633485,29.729848923232062
9,0,1,train,278.635801415365,-8.047414874739298,0.10195109248865403,31.177926227522907
3,0,1,train,518.2812839931086,-2.001375945631665,0.20614212493117662,57.87424283991077
8,0,1,train,456.8635727769468,-7.0261388210743,0.17280550239228332,44.585375221562266
7,0,1,train,393.3827474389685,-6.016347881616065,0.163704597513114,39.83217489539931
7,0,1,train,330.12098244267946,-6.019367475699903,0.163704597513114,39.83217489539931
10,0,1,train,261.9004092570303,-9.036903907657239,0.11213915429286729,40.39309913065299
8,0,1,train,310.2906589280884,-7.036787805813917,0.17280550239228332,44.585375221562266
7,0,1,train,308.2940841941935,-6.0359805571971945,0.163704597513114,39.83217489539931
3,0,1,train,618.807840815954,-2.0031764713217264,0.20614212493117662,57.87424283991077
6,0,1,train,352.5237056504696,-5.027015090962876,0.1080393740633485,29.729848923232062
5,0,1,train,374.8861475673924,-4.012803422502325,0.1831536391259022,39.91374858296922
6,0,1,train,344.75830334819284,-5.037324706053941,0.1080393740633485,29.729848923232062
4,0,1,train,509.42800752067933,-3.009862973541834,0.11539220022334472,36.04142069705202
2,0,1,train,1196.268979213969,-1.0000002693465648,0.16407124177015756,44.25351199830499
5,0,1,train,492.47214206912395,-4.013571145141136,0.1831536391259022,39.91374858296922
3,0,1,train,450.7817908344789,-2.006473006483218,0.20614212493117662,57.87424283991077
4,0,1,train,531.9826529441948,-3.0138996306690564,0.11539220022334472,36.04142069705202
10,0,1,train,309.2091723301181,-9.052385214096974,0.11213915429286729,40.39309913065299
9,0,1,train,238.62587142904653,-8.074638780764879,0.10195109248865403,31.177926227522907
8,0,1,train,304.06946292955547,-7.044719022399192,0.17280550239228332,44.585375221562266
2,0,1,train,697.4181346314218,-1.0002877671802655,0.16407124177015756,44.25351199830499
5,0,1,train,448.80691210979,-4.020157127703025,0.1831536391259022,39.91374858296922
10,0,1,train,246.41072249033937,-9.083383879517324,0.11213915429286729,40.39309913065299
2,0,1,train,598.2321063456864,-1.003160586816519,0.16407124177015756,44.25351199830499
8,0,1,train,300.74389939085,-7.044732016525486,0.17280550239228332,44.585375221562266
8,0,1,train,292.2050177427578,-7.049668119802931,0.17280550239228332,44.585375221562266
8,0,1,train,276.2412722560061,-7.052843737009315,0.17280550239228332,44.585375221562266
7,0,1,train,315.47899253157226,-6.0402096922725965,0.163704597513114,39.83217489539931
7,0,1,train,344.39527250915637,-6.044855052044116,0.163704597513114,39.83217489539931
10,1,2,train,274.9453088554746,-9.08343549446762,0.12499691936827827,40.91252836861653
8,1,2,train,298.17807586999714,-7.061136404242551,0.2123195390271514,49.49049954227731
9,1,2,train,379.44599289135294,-8.036203654460175,0.14792853679983084,37.507311406985714
3,1,2,train,630.0920964889851,-2.001459557954857,0.23649433289599486,54.468412824974436
5,1,2,train,616.4228179607404,-4.002117032868326,0.17114653833745586,45.397314167377885
2,1,2,train,728.3258662247163,-1.000242451501802,0.15440369273552612,31.681282912298176
6,1,2,train,502.33154745784464,-5.009310369806556,0.13539914392401203,40.03823756253205
9,1,2,train,295.61150931665986,-8.058912213240344,0.14792853679983084,37.507311406985714
10,1,2,train,210.2225108641079,-9.092476554367334,0.12499691936827827,40.91252836861653
4,1,2,train,629.5329648913839,-3.000813304294791,0.18131290275457887,48.767474680634635
7,1,2,train,424.0813133412158,-6.0151170993006104,0.0920918055489443,43.39293913455332
7,1,2,train,401.0035217453102,-6.020661635031121,0.0920918055489443,43.39293913455332
5,1,2,train,440.16490263740394,-4.015587455392117,0.17114653833745586,45.397314167377885
2,1,2,train,809.2190721188523,-1.0005532587057195,0.15440369273552612,31.681282912298176
3,1,2,train,537.0453550590559,-2.0024689769703454,0.23649433289599486,54.468412824974436
7,1,2,train,429.60431054711296,-6.021642702999845,0.0920918055489443,43.39293913455332
9,1,2,train,248.16719078176402,-8.06842686356697,0.14792853679983084,37.507311406985714
5,1,2,train,325.64282994516174,-4.032346604640289,0.17114653833745586,45.397314167377885
6,1,2,train,450.1710158420791,-5.016012842952482,0.13539914392401203,40.03823756253205
6,1,2,train,329.914272666694,-5.02654411987741,0.13539914392401203,40.03823756253205
7,1,2,train,337.6586809168956,-6.030597756379952,0.0920918055489443,43.39293913455332
4,1,2,train,550.6901822034562,-3.0042504078287404,0.18131290275457887,48.767474680634635
2,1,2,train,597.7051392352254,-1.0022073209192555,0.15440369273552612,31.681282912298176
4,1,2,train,536.6424072683433,-3.00775959540587,0.18131290275457887,48.767474680634635
4,1,2,train,516.587176305822,-3.0083761620750904,0.18131290275457887,48.767474680634635
3,1,2,train,569.3116726316036,-2.00328942956014,0.23649433289599486,54.468412824974436
3,1,2,train,559.0427919442217,-2.004653476804755,0.23649433289599486,54.468412824974436
7,1,2,train,329.48081320594645,-6.033026301907638,0.0920918055489443,43.39293913455332
9,1,2,train,269.87191178214164,-8.084150900983044,0.14792853679983084,37.507311406985714
4,1,2,train,377.2904546286124,-3.0130766997919043,0.18131290275457887,48.767474680634635
2,2,3,train,695.3427504630597,-1.0005638948827165,0.18584226058985392,42.37341287951423
4,2,3,train,575.1911762007935,-3.0095084532281495,0.1521357863581697,37.30746686254916
10,2,3,train,245.8346752412496,-9.079219990756517,0.18479975522767184,51.560720144203124
6,2,3,train,361.8191536678717,-5.018895868698594,0.11583839667190926,30.434765937495488
7,2,3,train,322.5763368542615,-6.032299668220716,0.18576806504466462,58.17547927845666
3,2,3,train,567.7044175431653,-2.00251446051782,0.2167536387974969,61.063103465640644
5,2,3,train,525.1398381024908,-4.005489260888135,0.1710153799649538,48.00758640624622
9,2,3,train,288.5180714468516,-8.034642793776523,0.14733045540141318,51.04881601086284
7,2,3,train,271.55733424853616,-6.062890124610108,0.18576806504466462,58.17547927845666
8,2,3,train,363.86755967190425,-7.0242972055929185,0.174340166959095,36.174638808571956
10,2,3,train,247.64461276600971,-9.08150648066189,0.18479975522767184,51.560720144203124
8,2,3,train,319.2750773040292,-7.0668213295569045,0.174340166959095,36.174638808571956
9,2,3,train,257.44474906864264,-8.064613205005516,0.14733045540141318,51.04881601086284
2,2,3,train,883.0924340920805,-1.000568462769194,0.18584226058985392,42.37341287951423
2,2,3,train,716.7093545612388,-1.0024489782507477,0.18584226058985392,42.37341287951423
2,2,3,train,607.0839972740621,-1.0029957182084654,0.18584226058985392,42.37341287951423
6,2,3,train,362.4284029413986,-5.019759101014412,0.11583839667190926,30.434765937495488
5,2,3,train,440.3836663925683,-4.016015760565899,0.1710153799649538,48.00758640624622
