k,best_labels,best_centroids,best_cost,silhouette,ch_score,inertia
3,[2 1 1 ... 2 2 1],"[[ 1.88168621 -0.61952543 -0.50850234 -0.05548086  0.93063385  0.69406221
   7.56984345  1.01963704]
 [ 0.17231934 -0.15529618 -0.11664486  0.35495878  0.71402628  0.69859833
   1.48238812  1.04308123]
 [-1.2899315  -0.03513544 -0.14606182  0.51540749 -0.54751276  0.55913882
   6.3726722   2.00984466]]",48542.46765926046,0.3410585185875189,4073.925655322542,48542.46765926041
3,[1 2 1 ... 1 1 1],"[[ 0.66362904 -0.65788949  0.32781322 -0.99844018  1.81260297  0.63948111
   0.11846773  0.44090398]
 [ 0.48443954 -0.20155958 -0.07370351  0.77514341  0.76846845  0.45718514
   4.07184803  1.65457083]
 [ 0.23909384  2.32869976  0.02767329  0.46174331  0.83969028  1.10390346
   1.23290135  0.54129299]]",62763.511477047454,0.23607382337907398,3512.1483871102782,62763.51147704776
3,[2 0 0 ... 2 2 2],"[[ 0.20089391 -0.66980716  0.13381808  0.75930529  0.6682706   0.99295723
   0.18819281  0.32511984]
 [ 0.69547559 -0.34660444  1.80103413 -0.91035099  0.56622156  1.59400229
  -1.16673044  0.19358883]
 [-0.43939061 -0.06128032  0.15929408  0.31113247  0.82014886  0.45662367
   4.35352536  1.09002348]]",56867.27579829625,0.2760480689948864,3273.606594866927,56867.27579829619
3,[1 2 2 ... 1 1 1],"[[ 2.0488465  -0.49770214 -0.20372685  0.47324877  0.30647764  1.01356557
   6.87187789  1.51355645]
 [-0.20565595  0.40649445  0.02652912  0.86067584 -0.05959295  0.2141255
   4.0531507   1.34659969]
 [-0.11642426 -0.7486886   0.16035512  0.40655851  0.86468196  1.08167752
   1.04626236  1.41867582]]",46505.83045325389,0.32700482550869414,5015.293925049504,46505.83045325392
3,[1 0 0 ... 1 1 1],"[[ 0.31381393  0.08460786 -0.0805975   0.36612372  0.74814899  0.65512771
   0.43157238  1.19934552]
 [-0.93627214  0.18403847  0.81020611  0.92045246  0.3956252   0.62509062
   4.55619319  1.63636088]
 [ 1.32861947 -0.97630777 -1.1147014  -0.47451015  1.01420428  0.33431035
   7.45237335  0.97926545]]",43180.354905358574,0.3332496650153744,4988.704340956589,43180.354905358516
3,[0 2 1 ... 0 0 0],"[[ 0.09810193 -0.16958246 -0.19740665  0.75796162  0.45125208  0.32095469
   6.02255867  1.68418684]
 [ 0.04826647 -0.57761792 -0.69433656  0.4961857   0.35544863  0.56123213
   0.78260243  1.23786137]
 [ 0.23184822  1.56194387 -0.26914877  0.59592941  1.16061626  0.96225093
   1.67024435  1.26854875]]",47116.34075207806,0.2523099950097639,4103.253811369772,47116.34075207818
3,[2 0 0 ... 2 2 2],"[[-0.07962882  0.04198601 -0.16707774  0.63226144  0.7464206   0.55274903
   0.8840347   1.22401909]
 [ 1.29850799 -0.19797821  0.37323563  0.74718848  1.25964018  0.24248391
   5.06435772  0.92819134]
 [-0.6402725  -0.17872509  0.40619496  0.69554526  0.49459908  0.70390072
   5.32550409  1.66967689]]",44109.58146360731,0.3287898354844449,4368.408779230844,44109.58146360738
3,[1 2 2 ... 1 1 1],"[[ 0.53289554  1.80852292 -0.85822763  1.6014554   0.02162045  1.01869081
  -0.35913237  2.48372297]
 [-0.13675648 -0.07606619  0.44989808  0.41008681  0.62305005  0.68207102
   4.48366106  1.53567012]
 [-0.0512854  -0.37867312 -0.81197915  0.79858229  1.01256255  1.57778559
   0.10712583  1.51050019]]",53894.063522655284,0.24784518587812387,3624.57751825433,53894.06352265499
3,[2 0 1 ... 2 2 2],"[[-0.33891509  0.3195508  -0.17716769  0.61835122  0.48973114  0.9252615
   0.69481476  0.9445497 ]
 [ 2.42740199 -0.01408107 -0.01093889 -0.83241227  1.12523895  0.54581163
   0.94652623  0.72479453]
 [ 0.14206571 -0.2001329   0.33161703  0.63417214  0.37740389  0.52176331
   5.28008846  1.64476265]]",48667.22175502144,0.18891737291228347,3573.4787941875406,48667.22175502156
3,[0 2 0 ... 0 0 0],"[[ 0.3218536  -0.00797222  0.01246294  0.48832353  0.92494509  0.52282831
   4.30131872  1.7175186 ]
 [-1.61628493  0.68535664 -0.03044996  0.61404524 -1.85253197  0.50701039
   1.05495925  1.55407379]
 [-0.6401353   0.17778442 -0.4414974   0.6080215   0.17759005  0.37570448
   0.21091506  1.36132873]]",54793.49623632346,0.25840987970938056,3366.6265654845743,54793.49623632364
